,mentions,log2_mentions,avg_tfidf
start,4378,12.096056239180946,0.0532843361685909
role,2914,11.508785162064513,0.06656431239209604
tell,3850,11.910642730469625,0.055076038445500124
turn,3854,11.912140856295721,0.05189510384034205
point,4336,12.08214904135387,0.05298446705602276
long,3910,11.932952892194715,0.05554008032137965
set,3418,11.73893668167614,0.054926860283434735
day,2992,11.546894459887637,0.058078055355020385
fact,3762,11.877284133523196,0.053869012873800595
minute,4971,12.279320387942608,0.0629469088425041
world,2539,11.310044679647506,0.06401708418259969
kill,4369,12.093087390444218,0.07097223323143446
star,3252,11.667111542075027,0.06333749672921031
girl,3707,11.856036399819155,0.08738750017931246
happen,3822,11.900112062977456,0.06204237194943675
big,3302,11.689124404913258,0.0594194355965922
need,3493,11.770250927394864,0.05506558013828946
old,3188,11.638435913990472,0.06158158983503047
cast,3151,11.62159403901754,0.06299147599543102
friend,2950,11.526499239136566,0.07185404706383566
right,3220,11.65284497300198,0.05438127500158341
horror,3671,11.841957399099547,0.10112589506612181
pretty,4144,12.016808287686555,0.06378435112648825
comedy,2922,11.512740462803498,0.09337385794932705
mean,3712,11.857980995127573,0.05935611913891293
original,3660,11.837627933171404,0.09484052841981588
new,2735,11.417325117679919,0.06597096877474314
script,4303,12.07112712494831,0.060803756266328286
enjoy,2252,11.13699111208023,0.07128699259341201
live,2356,11.20212382383046,0.06126107939380186
family,2247,11.133784409179908,0.1021949976386258
kid,3302,11.689124404913258,0.10559075971517763
interesting,3191,11.639792893279312,0.06463146278297598
kind,3222,11.653740778706569,0.0629571439043707
young,2210,11.109830654278793,0.07102539126713255
write,3210,11.648357582009666,0.06067131707590241
bit,2638,11.365228849251544,0.06269984314778536
music,2295,11.16427843830117,0.08190496578483941
action,2680,11.388017285345136,0.0832096309179661
fan,2618,11.354249381945241,0.07088401986003291
believe,3076,11.586839787961827,0.06245885660080051
probably,2943,11.523071826940395,0.05862489392289905
child,2433,11.24852060493843,0.10775245798390133
reason,3481,11.765286098723683,0.05650391010204514
begin,2578,11.332036548361652,0.056868416008783326
series,1997,10.963618617443972,0.10638789371559848
let,3072,11.584962500721156,0.057767153838320894
far,2909,11.506307581100307,0.057600547590303294
sure,2798,11.450180247164754,0.06008106097793567
idea,3240,11.661778097771988,0.06571816381393727
laugh,3044,11.571752643503546,0.0831950425575631
shoot,3078,11.58777751632821,0.06479388305655473
help,2274,11.151016538892248,0.05789205473887825
line,2840,11.471675214392045,0.0661938301236961
run,2785,11.443461612227393,0.05925183102106598
view,1991,10.959277505720502,0.0652902594353647
audience,2537,11.308907804063939,0.06657084816389583
expect,2605,11.347067657165871,0.06785947318519263
especially,1837,10.84313591111135,0.06133684909210622
course,2248,11.134426320220927,0.05802479016442339
episode,1823,10.832098846039134,0.14591087346324152
place,2386,11.220378327695228,0.05706930526502089
tv,2355,11.201511344500146,0.08143090997649738
screen,2407,11.233020426474496,0.0617173301277084
maybe,2886,11.494855584491198,0.06929289772560075
lead,2023,10.982280604558284,0.061176251280584036
moment,2102,11.037546953962178,0.06859164021449339
bring,1884,10.879583249612784,0.06106371497772382
book,2495,11.284824100224624,0.17100741859677313
version,2100,11.036173612553485,0.1042766854765218
use,2192,11.098032082960527,0.0591156059867228
fun,1748,10.7714894695006,0.07819156325973567
hope,2225,11.119589620741122,0.06709563430774605
instead,2901,11.502334580197997,0.055465124522157454
early,1793,10.808159772868375,0.0600771887548593
different,1546,10.594324603924848,0.07679535124462605
lose,1941,10.922584402713664,0.06464176284734738
follow,1804,10.81698362325538,0.06061163016428907
problem,2301,11.16804526822409,0.0669352224709579
talk,2383,11.21856323619027,0.07666612965589453
short,1820,10.829722735086058,0.08202636349194593
american,1815,10.825753832883112,0.08827889993228247
wife,1764,10.784634845557521,0.0863470404456503
understand,1997,10.963618617443972,0.07336069627080662
death,1948,10.927777962082342,0.07004944593348757
hard,1887,10.881878707600446,0.06450087094331024
beautiful,1108,10.113742166049189,0.07962697869792032
remember,1682,10.715961990255144,0.08249517268908503
second,2043,10.996473488733228,0.06255102156152915
face,1918,10.905387005018131,0.061727633549105744
hear,1968,10.94251450533924,0.06464320503248773
boy,1746,10.76983784362944,0.08998843119957031
head,2136,11.060695931687555,0.06585846230473101
miss,1810,10.821773981970567,0.06784745770129141
change,1761,10.782179193831208,0.07383604431518208
poor,3024,11.562242424221072,0.07035247157325306
true,1438,10.489847960439297,0.06799546913242716
direct,1770,10.78953364497036,0.06747092571543932
classic,1352,10.400879436282183,0.07646259184411444
appear,2069,11.014717929860009,0.0616927553145588
include,1676,10.710806433699352,0.05936487876636733
simply,2192,11.098032082960527,0.06505745906934676
father,1487,10.53818893205242,0.08776236785432295
call,2163,11.078817949961978,0.060186040500783085
excellent,745,9.541096615349524,0.08716388712524811
money,2379,11.216139556425135,0.07529791939596871
nice,1718,10.746514321138463,0.07472960270926671
house,1887,10.881878707600446,0.09531271288382805
die,1980,10.951284714966972,0.0765727082609341
mind,1685,10.71853287606922,0.061893594037065874
sense,1956,10.933690654952233,0.06623725165688484
suppose,2805,11.453785055496155,0.06076336167785346
hand,1837,10.84313591111135,0.06190202798628032
hollywood,1702,10.733015321685963,0.08454549251343023
couple,1971,10.944712061043486,0.06876172454625797
attempt,2319,11.179287104646004,0.0629974996225661
involve,1859,10.860311054919482,0.06219596120698791
read,1912,10.900866807980748,0.06746199085313916
wrong,2273,11.150381968817848,0.06660933907420798
sound,1755,10.777255315191923,0.08003911808609347
dvd,1344,10.39231742277876,0.08913155357316922
eye,1534,10.583082767502933,0.07218290271583241
stupid,2938,11.52061868055628,0.0925672253609514
away,1823,10.832098846039134,0.059250719536489055
add,1700,10.731319031025064,0.0642010077592857
picture,1523,10.572700226487292,0.08044844112939899
war,1161,10.181152256865566,0.12535438912747046
care,2094,11.032045726930809,0.07099485921033702
word,1790,10.805743872151618,0.07026564797866919
night,1632,10.672425341971495,0.07779374425119019
decide,1911,10.900112062977456,0.06203790278270933
completely,2130,11.056637715113201,0.06786922609562061
sort,1909,10.898601387403938,0.06602646316505846
truly,1314,10.35974956032233,0.07555198776814788
meet,1327,10.373952655370193,0.06751020025313943
home,1458,10.509775004326936,0.07192199663464979
feature,1443,10.494855584491198,0.07289394349125092
song,1320,10.366322214245816,0.12075985432674674
dialogue,2094,11.032045726930809,0.07416776256218938
style,1390,10.44086916761087,0.06898972391828681
title,1902,10.893301530860564,0.07323800973637432
case,1777,10.795227966028678,0.06383927983098374
terrible,2827,11.465056167831175,0.08929984385749715
release,1372,10.422064766172813,0.07561291089505069
create,1343,10.391243589427443,0.0713094650930348
black,1671,10.706496018061188,0.1022740021001124
lack,2021,10.980853606379736,0.06723424665717641
joke,2158,11.075479149488016,0.10856025025296184
human,1311,10.356451970221755,0.08411355695735662
murder,1485,10.536247215688128,0.08721082574114601
mother,1280,10.321928094887362,0.09417119670130454
job,1446,10.497851836951117,0.07412865269374128
wonderful,550,9.103287808412022,0.08791798543305052
guess,2081,11.023061249735335,0.06622889525489914
high,1480,10.531381460516313,0.06975436601600626
awful,2798,11.450180247164754,0.08322032117706751
late,1213,10.24436383512051,0.06254234364665408
rest,1861,10.861862340059151,0.06058044188027833
wonder,1748,10.7714894695006,0.06822109942490359
keep,1421,10.47269083924278,0.06779723327567787
recommend,1422,10.473705749619416,0.0789585039036541
game,1241,10.277287400130357,0.1967822129382231
perfect,663,9.372865060112588,0.08662637741529255
finally,1402,10.453270634010623,0.06162658539916556
experience,1064,10.055282435501189,0.07268138325841021
consider,1485,10.536247215688128,0.06848483208314514
effect,1625,10.66622400280318,0.07918757156342844
certainly,1281,10.323054760341646,0.06740666464883505
dead,1606,10.649256177517314,0.07786411797157951
move,1015,9.987264012072538,0.06887466282270917
production,1531,10.580258567499788,0.07996053649834636
cinema,1252,10.290018846932618,0.09265489600913832
fall,1476,10.527477006060396,0.06592861694135049
stand,1334,10.381542951184585,0.06826003801129979
sit,1882,10.878050912728536,0.06993752131283366
yes,1521,10.570804437724497,0.07452577772643564
fight,1419,10.470658874060552,0.08931720675404782
half,1825,10.833680748654741,0.07577616162555428
overall,1304,10.348728154231077,0.07094162021564901
force,1458,10.509775004326936,0.06979408447333123
cut,1657,10.694357887221452,0.07359656764205302
look_like,2861,11.482303782323182,0.06228415629746682
worth,1611,10.653740778706569,0.07728572826432561
drama,1036,10.016808287686555,0.08885387950329122
dark,1177,10.200898605038445,0.08586982783539916
boring,2299,11.16679075071818,0.08338142916698424
example,1570,10.61654884377899,0.06520496733360369
type,1394,10.445014845868423,0.07586563887053635
base,1370,10.419960177847889,0.07200043233577921
stop,1644,10.682994583681683,0.069705536148074
john,1287,10.329796338220701,0.0958366192310099
voice,1283,10.325305455089682,0.08996417442863094
fine,924,9.851749041416058,0.07450827221342833
direction,1530,10.579315937580015,0.0717952066269205
mr,1246,10.283088353024002,0.10116977643209725
save,1865,10.8649599151426,0.06674416003234547
piece,1427,10.478769619475763,0.06916129292802364
hour,1675,10.709945380232497,0.07696000644678672
ask,1466,10.517669388133811,0.06671205815016916
definitely,1005,9.972979786066292,0.08231420308417378
favorite,622,9.280770770130603,0.08201280369991991
entire,1668,10.703903573444663,0.06684786072371265
small,1115,10.122827994807666,0.0719261964934957
camera,1615,10.657318449581288,0.07789177883451412
mention,1549,10.597121428789569,0.0656570998795831
close,1192,10.219168520462162,0.06742283173052482
light,1220,10.252665432450248,0.07778243352368572
later,1113,10.12023787734196,0.0633115971639638
shot,1500,10.550746785383243,0.07505118207185678
brother,1224,10.257387842692651,0.09166602361898832
age,1017,9.9901039638575,0.08029657833735668
able,1154,10.172427508645482,0.07012796643277766
relationship,885,9.78953364497036,0.09302798395694575
unfortunately,1798,10.812177305514448,0.0606563518777309
quality,1318,10.364134655008051,0.07855898149440871
have,1310,10.355351096424812,0.06160400920482725
review,1499,10.54978466794786,0.08874049109847322
hit,1220,10.252665432450248,0.06923926306341095
viewer,1171,10.193525360501216,0.07078351952368386
son,1142,10.157346935362844,0.09716529251583231
evil,1402,10.453270634010623,0.09166249233021813
acting,1557,10.604553229079038,0.07426878906288739
totally,1487,10.53818893205242,0.0791591552981194
fail,1833,10.839991070539886,0.06800588493224408
today,663,9.372865060112588,0.08757239817701692
history,1032,10.011227255423254,0.08051974774261815
hero,1367,10.416797527606061,0.09381495745040554
portray,1032,10.011227255423254,0.07606386502368018
stuff,1425,10.476746203939467,0.0751653885380935
comment,1355,10.404077136241234,0.08880386198709746
manage,1272,10.312882955284355,0.06905583933203253
speak,1372,10.422064766172813,0.06678347555652248
learn,1038,10.019590728357882,0.07207264702178899
soon,1080,10.076815597050832,0.06981428928501285
strong,731,9.513727595952437,0.0836993794540805
flick,1545,10.593391122791736,0.088297583524062
sex,1492,10.543031820255237,0.11465649354852632
writer,1473,10.524541715035848,0.07724910533845328
killer,1530,10.579315937580015,0.12312644304765501
despite,1106,10.111135670234708,0.06586775941780124
deal,890,9.79766152585376,0.0745942825834047
absolutely,1508,10.558420713268664,0.07209745820708661
group,1211,10.24198314969433,0.07870627282309973
actress,1131,10.14338321398982,0.08056897336983133
break,1221,10.253847484987404,0.0683129392883426
amazing,514,9.005624549193879,0.0936222420584007
wish,1172,10.194756854422248,0.08328289256944683
daughter,1162,10.18239435340453,0.09318632539495207
hold,1038,10.019590728357882,0.0652282245318423
realize,1117,10.125413470483315,0.07064220733716511
genre,1068,10.060695931687555,0.0818877043546111
throw,1551,10.59898297103609,0.06552044786869879
car,1344,10.39231742277876,0.1256352372197802
forget,1108,10.113742166049189,0.07137919075695119
name,1227,10.260919533662905,0.06534875111371934
situation,996,9.960001932068081,0.0724725342673955
buy,1246,10.283088353024002,0.08666539505276048
part,1069,10.06204613772049,0.08673230385871869
matter,1175,10.198445041452363,0.06598476721491521
main,1219,10.251482410620213,0.07281282183846932
year_old,1280,10.321928094887362,0.08643508980045252
humor,1016,9.988684686772165,0.10706616615995634
hate,1446,10.497851836951117,0.09110845971274165
brilliant,538,9.071462362556623,0.0862790826677142
level,1178,10.20212382383046,0.07065158377577531
wait,1242,10.278449458220482,0.07655662312439464
rent,1622,10.663558104217273,0.10174166149798847
special_effect,1497,10.547858506058416,0.08923749973648373
obviously,1471,10.52258153125483,0.06635311707060972
walk,1463,10.514714054138487,0.08215681721776256
oh,1697,10.728770849542663,0.07548207940274888
talent,1208,10.238404739325079,0.07858158181140128
present,932,9.86418614465428,0.07295316114027439
sequence,1002,9.968666793195208,0.08033975458546398
number,1077,10.072802534544207,0.08564811737862864
horrible,1959,10.935901682267588,0.095515155261514
power,996,9.960001932068081,0.08838953777756232
entertain,971,9.923327485419192,0.08678852708762437
city,883,9.786269627648466,0.09460097036218262
heart,744,9.539158811108031,0.0752721767838188
open,1063,10.053925881531105,0.06693112393081782
catch,929,9.859534786382653,0.07234044815859651
school,1155,10.17367713630342,0.09354484231890092
surprise,935,9.868822554774999,0.07909138655888415
order,1095,10.096715154488535,0.0705252189694123
b,1425,10.476746203939467,0.09729831318120054
past,954,9.897845456005511,0.07525978609900486
event,938,9.873444112515376,0.08176150231473825
theme,820,9.679480099505446,0.0829952581204004
career,1025,10.001408194392809,0.07583512300636801
strange,1020,9.994353436858859,0.08282193627211737
pick,1118,10.12670447284319,0.07492785412028025
town,1012,9.98299357469431,0.10159490550220489
monster,1464,10.515699838284043,0.14614870864303417
white,1161,10.181152256865566,0.10820824337013875
country,860,9.74819284958946,0.08816919849895828
drive,1011,9.981567281903015,0.07805323457658796
grow,825,9.688250309133178,0.07513670659577343
simple,678,9.405141463136344,0.08194481057725453
final,970,9.92184093707449,0.07238426619698969
ok,1506,10.556506054671928,0.08913926391721563
chance,882,9.784634845557521,0.07278657532606357
cause,1072,10.066089190457772,0.08010349842597772
effort,1266,10.306061689428342,0.07215395278315855
particularly,949,9.89026427702111,0.0714138946861599
rate,1058,10.047123912114026,0.09074375927714647
decent,1469,10.52061868055628,0.077045090008938
win,799,9.642051692927977,0.08965546109889058
hell,1351,10.399811959325685,0.0774904549324886
deserve,965,9.914385132155443,0.07640145660549723
return,906,9.823367240046235,0.07563085923217705
sequel,1360,10.409390936137703,0.118101290095694
touch,585,9.192292814470767,0.07926711152179317
extremely,1009,9.978710459106358,0.08079001951294523
husband,868,9.761551232444479,0.10520016229443895
cool,1031,10.00982861736811,0.09575396967200657
etc,1058,10.047123912114026,0.0730002873335423
video,1028,10.005624549193879,0.10836104034769686
sad,1032,10.011227255423254,0.08324867025687144
provide,777,9.60177078840771,0.07659497595999376
reality,739,9.52943055414615,0.08876628010520395
cop,1167,10.188588845707349,0.12039909034213592
opinion,887,9.792790294301064,0.08684699018047684
explain,1279,10.320800548881637,0.0723401444115253
god,1244,10.280770770130603,0.10253305114708182
element,905,9.821773981970567,0.07865215788929159
obvious,1245,10.281930026955443,0.0681984394385108
art,910,9.829722735086058,0.10661187645410283
body,1114,10.121533517340032,0.079433932891915
figure,1081,10.07815080773465,0.07457810601631656
score,781,9.60917873814198,0.0829247473444954
hilarious,641,9.324180546618742,0.08562818239972064
offer,916,9.839203788096944,0.07452264445306367
allow,903,9.818582177480858,0.07257049493193735
scary,1228,10.262094845370179,0.129345921141872
dream,685,9.419960177847889,0.1097440242023041
novel,942,9.879583249612784,0.1373170157469397
complete,1092,10.092757140919852,0.06921404028771413
dog,1028,10.005624549193879,0.12956712985194893
usually,1044,10.027905996569885,0.08527385004647645
pay,1207,10.237209960755022,0.07966679171443292
compare,924,9.851749041416058,0.0796455177630688
dialog,1267,10.30720080914081,0.09237604649942299
result,979,9.935165049603695,0.06750214477569669
theater,973,9.926295994781112,0.099145244278219
main_character,1084,10.08214904135387,0.09314609745442794
question,859,9.746514321138463,0.0844285514748025
check,995,9.958552715431011,0.10527381958481995
violence,941,9.878050912728536,0.10712649623110386
note,853,9.73640193131829,0.07306125109699184
documentary,754,9.558420713268664,0.15866440045700891
cinematography,803,9.649256177517314,0.07810024818482943
team,821,9.681238411777805,0.10315471069904258
michael,797,9.638435913990472,0.10874342120465715
ridiculous,1536,10.584962500721156,0.07477095993445827
exactly,1047,10.032045726930809,0.0684793708812101
important,731,9.513727595952437,0.07941475294363141
blood,1127,10.138271800172221,0.09741456813554662
deliver,799,9.642051692927977,0.07449180908604236
possible,1056,10.044394119358454,0.07153164384084103
stick,1158,10.177419537989236,0.0714751270364784
sister,745,9.541096615349524,0.11786080601875558
cheap,1483,10.53430288245463,0.07776480034543845
credit,1049,10.034798962577268,0.07473381869738746
focus,773,9.594324603924848,0.08528185448274117
low_budget,1222,10.25502856981873,0.0926953765691364
one,876,9.774787059601174,0.08219890954909288
message,836,9.707359132080883,0.10324826714978048
silly,1237,10.27262978497637,0.07848238652584379
spend,1144,10.159871336778389,0.07226298239698489
somewhat,813,9.667111542075027,0.07761453378168098
waste,1550,10.5980525001616,0.0800568851847554
zombie,1381,10.43149760425805,0.31482846974194817
pull,902,9.81698362325538,0.07498755838449596
produce,950,9.89178370321831,0.08157812250189095
stay,875,9.77313920671969,0.07866449439051611
parent,768,9.584962500721156,0.10876881389494954
room,914,9.83605035505807,0.08145573893222181
apparently,1264,10.303780748177102,0.06568177644292444
self,794,9.632995197142957,0.07484042366405914
usual,785,9.61654884377899,0.07768010813833759
basically,1142,10.157346935362844,0.07372949440901717
form,712,9.475733430966399,0.07521975118608466
special,815,9.67065624911844,0.08272322894403712
draw,781,9.60917873814198,0.09178665142894085
image,691,9.432541900388259,0.09333853310915574
fill,867,9.759888183221834,0.07563999100422807
prove,787,9.620219825507487,0.07228152983782751
gore,1140,10.154818109052105,0.11709896619812643
local,876,9.774787059601174,0.07841253981966197
single,1041,10.023754353299417,0.07695392363958746
easy,710,9.471675214392045,0.07776797013309558
clearly,973,9.926295994781112,0.06992601610933964
pass,970,9.92184093707449,0.07636232612249198
thriller,761,9.571752643503546,0.10408254443959769
major,800,9.643856189774725,0.08524913456793673
budget,1139,10.153552031708111,0.08523159469332349
cover,994,9.957102041562287,0.0908470096244375
steal,862,9.751544059089099,0.08185014262209431
imagine,955,9.899356922923111,0.07945819677043221
filmmaker,1028,10.005624549193879,0.09409309748981302
seriously,1144,10.159871336778389,0.08129889198035166
state,824,9.686500527183219,0.07092977827270806
thought,896,9.807354922057604,0.08505617849967465
crap,1408,10.459431618637296,0.09423729989765371
stage,721,9.493855449240822,0.09067334462495871
remain,717,9.485829308701904,0.07275173574607607
discover,661,9.368506461507693,0.07182217938695637
season,509,8.991521846075695,0.19330363255882604
fire,970,9.92184093707449,0.08928644009518831
deep,606,9.243173983472952,0.08174778421746899
female,983,9.94104760634058,0.08056939717899915
soundtrack,651,9.346513733165635,0.09479740290846929
television,727,9.505811553919594,0.10623527894451482
predictable,1244,10.280770770130603,0.08713549420952625
low,1123,10.133142212400601,0.07944918235393018
d,885,9.78953364497036,0.12273518338396353
earth,893,9.802516365121223,0.10200434359749555
escape,777,9.60177078840771,0.0782497447973814
doubt,833,9.702172685365548,0.08051004346479167
wear,984,9.94251450533924,0.0726207201061332
edit,1052,10.038918989292302,0.08533899290284977
date,716,9.483815777264256,0.09240747773941037
avoid,1229,10.263269200372662,0.08511664440171807
clear,822,9.682994583681683,0.07350163553394662
easily,754,9.558420713268664,0.07593792656810544
weak,1156,10.174925682500678,0.09359416123645564
french,648,9.339850002884624,0.12649505167986463
street,685,9.419960177847889,0.08833744100392987
develop,758,9.566054038171092,0.07861440464689579
british,689,9.428360172704291,0.11441842737810927
villain,819,9.677719641641009,0.0950254654153054
remind,654,9.353146825498083,0.08349270842786316
future,658,9.361943773735241,0.08685587467809514
slow,954,9.897845456005511,0.09478204585969727
similar,686,9.422064766172813,0.07849814495845366
annoying,1309,10.354249381945241,0.08083450893019364
send,759,9.567956075415466,0.07079490758340146
doctor,751,9.552669097514272,0.11308507981085855
bunch,1144,10.159871336778389,0.07767213376295534
huge,852,9.734709620225837,0.07453428321651152
david,649,9.342074667999139,0.10775415750025198
western,613,9.259743263690781,0.1395270496445716
carry,760,9.569855608330947,0.07302574023919116
waste_time,1511,10.561287945164828,0.09416479948400246
producer,912,9.832890014164741,0.08283651315694804
bore,1245,10.281930026955443,0.08097882762624888
capture,523,9.030667136246942,0.08109509776425793
interest,836,9.707359132080883,0.07706043631568014
storyline,909,9.828136484194108,0.09777462524741479
lady,716,9.483815777264256,0.09271366251492388
certain,682,9.413627929024173,0.07758143342839015
enjoyable,514,9.005624549193879,0.0941562806609055
dance,616,9.266786540694902,0.11265351869746562
agree,799,9.642051692927977,0.07953939530435543
crime,654,9.353146825498083,0.09660996407839798
build,771,9.590587049915035,0.0767215927561995
suck,1297,10.3409627642517,0.12611290773996858
dull,1324,10.370687406807217,0.07914123440243859
aspect,714,9.479780264029099,0.0792848221375404
air,737,9.52552080909507,0.09251743255960443
choose,773,9.594324603924848,0.08118930691422686
got,922,9.848622940429339,0.08050754589366936
gun,938,9.873444112515376,0.09503773290923992
class,734,9.519636252843213,0.0922632346077936
soldier,684,9.417852514885897,0.1391973328226018
victim,887,9.792790294301064,0.08054376125341058
modern,560,9.129283016944967,0.08576851608832552
musical,529,9.047123912114026,0.14003971563885473
emotion,562,9.134426320220927,0.09277347746058454
happy,576,9.169925001442312,0.08506467806125376
rating,872,9.768184324776927,0.09990165462279567
issue,649,9.342074667999139,0.08757163089532782
list,870,9.76487159073609,0.08889490851781766
cartoon,715,9.481799431665753,0.17782596967137235
tale,528,9.044394119358454,0.095787444711425
adult,617,9.269126679149418,0.11108525974112363
realistic,466,8.86418614465428,0.10440891686839
okay,1057,10.045759661382682,0.08792803223646664
put,722,9.49585502688717,0.07246996321538475
reveal,599,9.226412192788786,0.07564733014511182
drug,792,9.62935662007961,0.13297963623037562
general,696,9.442943495848729,0.0825957113171755
famous,545,9.090112419664289,0.08782036579018541
typical,673,9.394462694610317,0.08656910334686402
mark,637,9.3151495622563,0.10040351646088595
match,560,9.129283016944967,0.17049324502418492
attack,879,9.779719355143405,0.08832547036328328
fit,661,9.368506461507693,0.08184940975048262
thank,505,8.980139577639157,0.07913999060546352
detail,602,9.233619676759702,0.08714666372353433
space,846,9.72451385311995,0.11674185560055073
bear,674,9.396604781181859,0.0895852506661516
standard,815,9.67065624911844,0.08131736416714329
romance,544,9.087462841250339,0.10242158625681297
suspense,745,9.541096615349524,0.10387408912200821
lie,729,9.509775004326936,0.08136254261860458
mess,1196,10.224001674198105,0.07396694347484303
continue,638,9.31741261376487,0.07796296874782395
notice,723,9.497851836951117,0.08026769226378093
fly,728,9.507794640198696,0.10492807985967857
english,687,9.4241662888181,0.10267356186101899
subject,696,9.442943495848729,0.08525817691639312
beat,726,9.50382573799575,0.08118334802961019
nearly,782,9.611024797307353,0.07730473518922173
dr,657,9.35974956032233,0.120131081512634
robert,623,9.283088353024002,0.0980704257082095
masterpiece,409,8.67595703294175,0.0932706654817107
animation,518,9.016808287686555,0.14122349460829134
plan,665,9.377210530388552,0.07966600022598234
average,835,9.705632387361415,0.08962948366050756
believable,537,9.068778277985412,0.08740745759234854
fantastic,291,8.184875342908283,0.10413360034561848
material,813,9.667111542075027,0.07891776002381978
support,577,9.172427508645482,0.08402752363683975
water,733,9.517669388133811,0.10600927629747091
period,593,9.211888294546004,0.08485458961248427
society,476,8.894817763307943,0.09635055776799044
large,654,9.353146825498083,0.07169095320403046
free,777,9.60177078840771,0.080963230465778
alien,936,9.870364719583405,0.1944766436027372
bother,1098,10.100662339005199,0.08183131344051661
eventually,623,9.283088353024002,0.07032066003146945
mystery,607,9.245552706255681,0.09775173261897332
pace,571,9.157346935362844,0.08063935154456225
vampire,889,9.79603960882977,0.2929194525738345
marry,532,9.055282435501189,0.09223627969462168
twist,637,9.3151495622563,0.10624450530105878
suffer,734,9.519636252843213,0.07680401219961898
actual,803,9.649256177517314,0.07453942030008318
particular,580,9.179909090014934,0.07804656381746121
atmosphere,488,8.930737337562887,0.08611555903367617
feeling,554,9.113742166049189,0.08584791401599992
sci_fi,770,9.588714635582264,0.12494587067975807
student,722,9.49585502688717,0.10483730610429252
near,771,9.590587049915035,0.06802064946365735
admit,682,9.413627929024173,0.08176709248845095
studio,607,9.245552706255681,0.0943121713279776
king,595,9.216745858195306,0.14291335823053702
george,560,9.129283016944967,0.13951446869634587
hot,719,9.489847960439297,0.0918723479137095
eat,833,9.702172685365548,0.09641997537538625
choice,615,9.264442600226602,0.08493621220318803
battle,562,9.134426320220927,0.09365990897803708
german,569,9.152284842306582,0.18265148420517988
america,555,9.116343961237469,0.09494902686100212
entertainment,593,9.211888294546004,0.09609827670778233
lame,1204,10.233619676759702,0.09611323236662149
shame,777,9.60177078840771,0.0908346521548986
jack,517,9.014020470314934,0.14360549614444548
difficult,569,9.152284842306582,0.08119526124541881
copy,689,9.428360172704291,0.10256629943729823
baby,715,9.481799431665753,0.11927660483702475
dumb,1093,10.094077685671905,0.09995856557083845
ride,566,9.144658242831882,0.10025099067320346
rock,637,9.3151495622563,0.09991780154369026
fear,512,9.0,0.0955913452510316
weird,788,9.622051819456376,0.09504953561092011
having,678,9.405141463136344,0.07450547268488804
premise,882,9.784634845557521,0.08139172261663156
possibly,811,9.663558104217273,0.082084642643998
gay,746,9.543031820255237,0.18694574280338497
james,574,9.164906926675688,0.11038115386677572
describe,671,9.390168956200183,0.08246644155914998
lover,523,9.030667136246942,0.09253573116341551
treat,567,9.147204924942228,0.0799364455643477
truth,526,9.038918989292302,0.08732800075004175
cheesy,885,9.78953364497036,0.09851860906501736
struggle,522,9.027905996569885,0.08742347540043845
