index,word,x,y,cluster,remove
2133,inspiration,0.30734175,9.324519,18,
3955,exquisite,0.31672797,9.3061905,18,
3758,garbo,-1.5252402,9.304045,22,
473,edit,-1.1348153,9.28976,28,
2825,brilliance,0.19248646,9.288358,18,
1308,wonderfully,-0.28549767,9.28396,18,
3084,sloppy,-1.1986982,9.274967,28,
1214,stunning,0.3668532,9.273045,18,
1040,beautifully,0.3445957,9.271169,18,
2420,shooting,-0.9882784,9.267711,28,
2538,unforgettable,-0.16515127,9.265315,18,
3429,smooth,-0.51639163,9.262511,18,
770,inspire,0.38622165,9.259032,18,
3621,recreate,0.93925875,9.253359,18,
1414,editing,-1.0365543,9.250114,28,
3443,ham,-2.9285877,9.237393,38,
1650,delightful,-0.1672189,9.231763,18,
103,shoot,-0.9873911,9.23173,28,
1246,clich_s,-3.031613,9.231491,38,
1621,sharp,-0.6419827,9.221513,18,
998,clich,-3.084025,9.219441,38,
3994,delightfully,-0.2446195,9.214676,18,
2783,wannabe,-1.906317,9.208842,22,
3854,crisp,-0.48497128,9.206968,18,
3445,biography,1.8290799,9.204531,40,
663,memorable,-0.2975336,9.203538,18,
3583,non_stop,-1.9115927,9.200959,22,
1760,delight,-0.16782062,9.199912,18,
2594,cliche,-3.054162,9.198582,38,
546,romance,-1.940101,9.193296,22,
1165,page,1.7806876,9.19269,40,
2691,stiff,-2.9827209,9.18997,38,
2134,reading,1.7819461,9.188416,40,
3599,breathtaking,0.41975555,9.185007,18,
1506,wit,-1.2064312,9.180517,28,
1067,camera_work,-0.8107628,9.178389,28,
3966,astounding,0.30788592,9.177593,18,
3567,elegant,0.5478818,9.176197,18,
2814,amuse,-2.1529279,9.1738405,22,
671,romantic,-1.927014,9.171162,22,
3780,stale,-2.7598598,9.170311,38,
260,shot,-0.9338461,9.168122,28,
937,lovely,0.68109137,9.164796,18,
1133,gorgeous,0.6556531,9.164536,18,
1284,author,1.7225343,9.164181,40,
1748,adapt,1.7071416,9.163853,40,
2966,eccentric,-0.35588336,9.160744,18,
169,read,1.7658874,9.160403,40,
3718,lively,-0.24776658,9.158826,18,
3907,dazzle,0.52361035,9.1567545,18,
2543,reader,1.8243783,9.148929,40,
3786,marvel,0.40007985,9.148264,18,
3628,glorious,0.37175503,9.145857,18,
3024,camera_angle,-0.84680736,9.145398,28,
1915,clich_d,-3.1203384,9.144238,38,
255,camera,-0.8804496,9.142743,28,
2659,close_up,-0.9100242,9.1417885,28,
2341,faithful,1.7769063,9.140815,40,
3062,tremendous,0.24758205,9.139951,18,
388,novel,1.7811285,9.137199,40,
138,beautiful,0.65497077,9.133813,18,
1818,lighting,-0.79189885,9.128229,28,
1044,read_book,1.8763971,9.127042,40,
120,book,1.7880028,9.125722,40,
1913,extraordinary,0.32223904,9.125461,18,
1350,wooden,-3.091082,9.1245575,38,
3549,stephen_king,1.8099349,9.123785,40,
3821,enchant,0.6275472,9.122534,18,
3292,trademark,-1.0032364,9.118014,28,
925,silent,-1.5895716,9.115458,22,
403,cinematography,-0.42826936,9.115227,18,
816,adaptation,1.7809067,9.114155,40,
3734,miniserie,2.149868,9.110763,40,
3856,light_hearted,-1.97192,9.106125,22,
627,beauty,0.6214091,9.105615,18,
2655,mini_series,2.1834893,9.102866,40,
2906,mildly,-2.2193286,9.100077,22,
2463,fast_pace,-1.9058022,9.096883,22,
947,photography,-0.47047886,9.087302,18,
3503,formulaic,-3.129056,9.0847,38,
2824,bergman,-1.6423994,9.082116,22,
1411,witty,-1.1955566,9.067993,28,
2803,slow_motion,-1.0176973,9.067261,28,
1649,bbc,2.3010726,9.060312,40,
1417,angle,-0.79927635,9.058489,28,
3263,superficial,-2.6917777,9.056971,38,
466,predictable,-3.0962603,9.056185,38,
1344,remarkable,0.33664572,9.048931,18,
2601,melodramatic,-2.3898437,9.040311,38,
3963,vibrant,0.44926515,9.033811,18,
3077,generic,-3.2025344,9.0316,38,
2035,quirky,-1.1257471,9.025799,28,
668,powerful,0.39972934,9.024815,18,
3384,unoriginal,-3.2416532,9.021276,38,
2707,trite,-2.7736444,9.014412,38,
1462,humorous,-1.2287455,9.012631,28,
1854,visually,-0.6373119,9.012305,28,
3930,derivative,-3.185683,9.011852,38,
2829,sentimental,-2.491538,9.010069,38,
1906,melodrama,-2.096329,9.004314,22,
3520,scope,0.31773618,8.997072,18,
1579,shallow,-2.7841516,8.996904,38,
3945,insipid,-2.7770133,8.991597,38,
2769,hamlet,1.661097,8.986247,40,
2026,pleasant,0.19704941,8.985977,18,
984,charming,-0.13041317,8.983175,18,
1704,contrive,-2.9245875,8.982655,38,
3766,composition,-0.70394486,8.980041,28,
1304,shakespeare,1.6593144,8.978851,40,
2930,old_fashioned,-1.9348246,8.971802,22,
3459,adorable,-0.12702484,8.967452,18,
2478,stylish,-0.6942256,8.965492,28,
1502,flash,-1.3037592,8.961092,28,
499,capture,0.42846584,8.959519,18,
708,cute,-0.17738767,8.953824,18,
970,frame,-0.6993539,8.952734,28,
3642,awe,0.3275691,8.950466,18,
2422,lovable,-0.17572486,8.949159,18,
811,smart,-1.6146054,8.9468,22,
1534,movement,-0.7647906,8.942345,28,
2575,motion,-1.0100756,8.942312,28,
1299,technique,-0.7825192,8.939406,28,
3748,plod,-2.6888902,8.939101,38,
717,clever,-1.1743679,8.9384985,28,
576,pace,-2.4099777,8.937985,38,
191,style,-1.0190799,8.936946,28,
3213,slow_pace,-2.473042,8.936602,38,
2098,pacing,-2.4273808,8.936601,38,
3647,literature,1.6315131,8.935295,40,
3505,endear,-0.11393541,8.924919,18,
3949,technicolor,0.001551313,8.9174385,18,
1355,flow,-2.3589048,8.914956,38,
486,slow,-2.5065086,8.907447,38,
3128,hip,-1.410326,8.903411,28,
1933,photograph,-0.33073333,8.902483,18,
3982,eisenstein,-0.73422027,8.900856,28,
2382,text,1.5950773,8.894929,40,
3223,slick,-1.1928774,8.8913965,28,
2473,translate,1.6062139,8.889794,40,
2880,rendition,1.3914663,8.889358,40,
1442,grand,0.74104625,8.886062,18,
3501,sweep,0.68953234,8.877714,18,
1980,lifetime,2.7348244,8.876243,35,
720,color,-0.109518945,8.875506,18,
2009,soap_opera,-3.0587976,8.866809,38,
1878,interpretation,1.506492,8.862296,40,
844,charm,-0.118098736,8.860356,18,
621,visual,-0.7057134,8.859469,28,
3584,romp,-2.1063607,8.856835,22,
740,sweet,0.04604014,8.856743,18,
3055,implausible,-2.9772205,8.855821,38,
2776,ultra,-1.3903383,8.854491,28,
329,entertain,-2.1753168,8.852775,22,
3701,dreary,-2.9227548,8.850926,38,
510,dull,-2.926796,8.850919,38,
1997,amazingly,-3.379876,8.848803,38,
2361,start_finish,-2.2175155,8.84722,22,
1581,thoroughly,-2.334276,8.843725,22,
2904,soap,2.7148907,8.84066,35,
1944,colour,-0.16597307,8.838976,18,
1568,warm,0.17599185,8.838946,18,
365,extremely,-3.295239,8.835912,38,
1116,paint,-0.22449283,8.833426,18,
2518,hbo,2.7558508,8.833201,35,
4009,end_result,-3.5890028,8.832676,38,
3475,immensely,-2.2187996,8.830854,22,
3910,choppy,-2.2436614,8.829624,22,
1031,fashion,-1.3112785,8.828096,28,
2222,photo,-0.30552,8.827515,18,
3803,jar,-1.9331957,8.827071,22,
3051,painting,-0.24963804,8.826261,18,
3973,mesmerize,0.3149301,8.822966,18,
2741,t_v,2.7930217,8.821001,35,
3636,beginning_end,-2.1863089,8.820345,22,
2690,sophisticated,-1.2295705,8.819776,28,
1789,late_night,2.759462,8.819357,35,
1669,cable,2.7695186,8.817512,35,
114,tv,2.7721212,8.816288,35,
1136,fresh,-1.1360633,8.815868,28,
2777,photographer,-0.28899184,8.8158245,18,
1732,tedious,-2.7298408,8.814689,38,
3974,piece_work,0.077215984,8.813571,18,
2747,repetitive,-2.5722544,8.811458,38,
781,channel,2.772734,8.811153,35,
2623,uninteresting,-3.0216582,8.810584,38,
465,television,2.784215,8.808102,35,
1701,sitcom,2.768094,8.80704,35,
237,boring,-2.9515479,8.805694,38,
3671,greatness,0.21483788,8.805198,18,
3317,music_score,3.9075506,8.804781,16,
274,totally,-3.3417578,8.80427,38,
920,flat,-2.9794781,8.804134,38,
694,incredibly,-3.4502733,8.798746,38,
3107,unbelievably,-3.5272703,8.797808,38,
1055,black_white,-0.22174275,8.793691,18,
3823,interpret,1.5147954,8.79354,40,
382,score,3.9211416,8.791082,16,
3924,work_art,0.51761794,8.790941,18,
783,intelligent,-1.3564922,8.790521,28,
624,entertaining,-2.2218308,8.789038,22,
3555,hollow,-2.8679435,8.78646,38,
2719,musical_score,3.9266286,8.784185,16,
2762,comic_relief,-1.9217693,8.78318,22,
2128,painfully,-2.9353683,8.779602,38,
1114,spoil,-3.2857869,8.779046,38,
1425,network,2.8009064,8.772632,35,
2038,imagery,-0.6292061,8.768967,28,
504,enjoyable,-2.2345731,8.767832,22,
1147,fox,2.7696395,8.767817,35,
1006,scenery,-0.13838284,8.76408,18,
437,image,-0.5711758,8.763296,28,
3452,oz,2.7867749,8.759647,35,
3248,composer,3.9478571,8.755859,16,
3937,lifeless,-3.0659516,8.752155,38,
2109,downright,-3.4886022,8.750345,38,
512,air,2.7435498,8.750256,35,
1951,forgettable,-2.5770435,8.748596,38,
1281,craft,0.026099509,8.747812,18,
89,music,3.9734535,8.747192,16,
949,utterly,-3.435415,8.746693,38,
123,fun,-2.174832,8.744538,22,
2344,unconvincing,-3.309339,8.74142,38,
3240,inventive,-0.970952,8.741026,28,
3771,catchy,4.054859,8.738844,16,
1104,unbelievable,-3.4462295,8.736142,38,
3632,programme,2.839589,8.73505,35,
2746,compose,3.9204707,8.733561,16,
2718,refreshing,-1.2237197,8.731422,28,
2670,broadcast,2.9206717,8.729406,35,
1202,program,2.8543365,8.728608,35,
1436,bland,-3.0993779,8.728504,38,
549,mess,-3.7703505,8.725688,38,
1569,unrealistic,-3.3978298,8.723113,38,
3892,rhythm,3.9059112,8.721159,16,
2192,overact,-3.5254116,8.719839,38,
598,entertainment,-2.1368153,8.719474,22,
498,bore,-2.9533248,8.718646,38,
3385,vivid,0.18667242,8.716436,18,
3646,warmth,0.25486252,8.71503,18,
464,soundtrack,3.970415,8.713447,16,
3822,painful_watch,-3.5323641,8.711958,38,
3154,abc,2.8092806,8.710474,35,
1367,quote,1.4301425,8.706899,40,
2754,lyric,3.9991877,8.706619,16,
2534,colorful,0.10791426,8.706296,18,
3777,tiresome,-2.7198076,8.706264,38,
3627,pitiful,-3.5545988,8.69939,38,
2759,triumph,0.324931,8.697985,18,
1489,terribly,-3.581148,8.693874,38,
676,highly,-2.3506906,8.692635,22,
1336,tune,4.0371566,8.69003,16,
2187,comical,-2.1251795,8.688013,22,
183,completely,-3.3177626,8.686388,38,
3977,laughably,-3.5246162,8.684561,38,
3906,south_park,2.7106311,8.683514,35,
632,location,-0.09194195,8.683327,18,
2409,backdrop,-0.032143362,8.680179,18,
4002,badly_write,-3.5568717,8.677449,38,
180,word,1.3693802,8.677274,40,
189,song,4.1262946,8.676534,16,
3063,lot_fun,-2.100906,8.67599,22,
1999,landscape,-0.04068942,8.674208,18,
2310,authentic,-0.0030945495,8.673757,18,
2884,phrase,1.397296,8.672046,40,
3111,musical_number,4.182037,8.671221,16,
326,number,4.245525,8.658891,16,
1490,opera,4.110656,8.657237,16,
4013,poorly_act,-3.5935295,8.657186,38,
3383,poorly_write,-3.5377352,8.656682,38,
3562,phony,-3.4135501,8.6557,38,
3606,muddle,-2.8599865,8.654305,38,
1884,worthwhile,-2.1340292,8.651941,22,
2169,ludicrous,-3.2259023,8.651716,38,
1877,distract,-2.5291092,8.647715,38,
2542,prime,2.835894,8.643661,35,
2285,cringe,-3.4209836,8.639642,38,
2301,lazy,-3.1312346,8.638546,38,
2074,goofy,-2.1721234,8.637885,22,
667,unique,-0.47475192,8.637694,28,
1294,contrast,0.09797608,8.635918,18,
520,musical,4.325075,8.635185,16,
2624,uninspired,-3.349101,8.632554,38,
3028,ridiculously,-3.4311721,8.631111,38,
1946,accompany,3.8882034,8.625223,16,
3788,awfully,-2.8901594,8.620491,38,
3109,wicked,0.5710804,8.619259,37,
1048,tired,-2.8075223,8.61919,38,
3002,breath,2.555653,8.613406,35,
2845,jazz,4.0050116,8.613072,16,
3789,poem,1.3629864,8.610723,40,
2552,imaginative,-0.77600515,8.608637,28,
2526,setting,-0.06658198,8.608509,18,
2557,piano,4.0949373,8.607706,16,
505,dance,4.231972,8.607309,16,
3904,banal,-2.9507248,8.605317,38,
3456,nostalgia,0.41394624,8.60527,18,
1719,surreal,-0.6350347,8.60093,28,
3861,gene_kelly,4.4640455,8.60014,16,
1419,fun_watch,-2.1270945,8.596737,22,
3940,preposterous,-3.0638928,8.594951,38,
3278,innovative,-0.7616191,8.594012,28,
3480,solo,4.0922966,8.59399,16,
3666,streisand,4.3479543,8.591649,16,
3918,inconsistent,-2.7496874,8.584327,38,
1420,singing,4.215151,8.579569,16,
1660,unfunny,-3.5012891,8.578481,38,
2530,cancel,2.8998132,8.577576,35,
3845,nonsensical,-3.0144403,8.576974,38,
3813,senseless,-3.0840878,8.576846,38,
3461,inane,-3.0199463,8.57617,38,
1859,broadway,4.5226192,8.57194,16,
1224,dancing,4.2210555,8.5713,16,
2366,captivate,0.37699667,8.570912,18,
4010,frank_sinatra,4.5765533,8.567366,16,
905,sing,4.162642,8.566274,16,
1692,dancer,4.268805,8.56607,16,
3578,incompetent,-3.6899805,8.565351,38,
1272,painful,-3.2907665,8.564599,38,
1828,horribly,-3.6870167,8.563432,38,
2277,musician,4.0705433,8.562097,16,
1830,sentence,1.4240409,8.556158,40,
2842,incoherent,-2.9532537,8.554951,38,
3206,clumsy,-2.3027668,8.552655,22,
1392,absurd,-3.0931754,8.551114,38,
2140,singe,4.189316,8.547222,16,
3607,illogical,-2.874099,8.539923,38,
3153,unbearable,-3.2421587,8.5376,38,
3708,hearted,0.6135769,8.534723,37,
2182,inept,-3.6321793,8.534333,38,
874,poorly,-3.5800982,8.53432,38,
2485,boredom,-3.2231615,8.531644,38,
2560,induce,-3.184204,8.530502,38,
2706,sinatra,4.5931387,8.530013,16,
3831,cagney,4.639545,8.527533,16,
3164,alternate,-0.5011885,8.521453,28,
810,pointless,-2.914984,8.521351,38,
1201,singer,4.228472,8.514253,16,
406,ridiculous,-3.5420544,8.50882,38,
2851,madonna,4.2426972,8.508691,16,
1190,radio,3.262804,8.501289,35,
3615,nostalgic,0.6363915,8.492808,37,
774,badly,-3.7811213,8.489192,38,
3875,brando,4.6208014,8.48655,16,
1606,host,3.192966,8.484866,35,
3611,yawn,-3.1164489,8.479628,38,
3066,devoid,-2.8672256,8.477133,38,
2241,embarrassing,-3.5982177,8.47299,38,
3592,cue,3.7875688,8.472153,16,
1586,overly,-2.1799877,8.469637,38,
3356,elvis,4.1847715,8.468597,16,
3017,gentle,0.589866,8.466089,37,
1118,creative,-0.82630193,8.466069,28,
243,voice,4.2064705,8.459467,16,
2809,album,3.7959714,8.458957,16,
3138,poetry,1.2261003,8.449326,40,
2378,bitter,0.7629194,8.441147,37,
822,plain,-3.490236,8.439537,38,
2027,concert,3.8351026,8.436323,16,
794,record,3.5912502,8.433936,16,
3921,beatle,3.8814557,8.432958,16,
2152,mgm,4.799576,8.430153,16,
2678,music_video,3.8372958,8.427221,16,
887,pathetic,-3.6545892,8.425622,38,
971,laughable,-3.7311296,8.423844,38,
3086,unwatchable,-3.8853867,8.422105,38,
460,season,2.933591,8.418885,35,
3747,incomprehensible,-2.7630575,8.418367,38,
1492,frankly,-3.8823044,8.417421,38,
432,usual,-1.484747,8.416542,8,
1334,tv_series,2.9417832,8.412616,35,
3035,disjoint,-2.6347625,8.408571,38,
3493,uneven,-3.0526907,8.404944,38,
1427,occasionally,-2.0572424,8.404799,8,
3900,michael_jackson,3.9916365,8.394492,16,
3785,low_key,-1.4389371,8.393082,8,
112,episode,2.942644,8.39137,35,
2993,relax,0.63108486,8.390899,37,
589,studio,4.8777213,8.382236,16,
819,tone,-1.4407878,8.38217,8,
3941,paramount,4.881752,8.378779,16,
2469,useless,-3.532254,8.37637,38,
907,christmas,2.3931413,8.375929,35,
951,cold,0.82392853,8.375099,37,
3064,meaningless,-2.9170005,8.372414,38,
1432,bored,-2.724727,8.369201,38,
813,exciting,-0.19491987,8.367895,45,
97,series,2.9235346,8.367537,35,
2775,vague,-2.6181269,8.367468,38,
1850,universal,4.878866,8.36739,16,
3729,compliment,-0.9546708,8.365172,8,
1514,unnecessary,-2.6309562,8.364624,38,
420,silly,-3.392373,8.362929,38,
2436,league,3.0412593,8.361101,35,
2393,muppet,2.4515553,8.359647,35,
605,dumb,-3.5302024,8.359321,38,
2972,depressing,0.9011826,8.357933,37,
1571,awkward,-2.0931954,8.353805,38,
2427,serial,2.8838763,8.351586,35,
3144,tap,4.09339,8.350475,16,
3598,ramble,-2.7979121,8.350009,38,
3846,exposition,-2.6875284,8.349729,38,
3550,irrelevant,-2.6839464,8.345838,38,
2337,depress,0.8969929,8.341897,37,
1998,blend,-0.9009112,8.340853,8,
1597,combination,-0.9166454,8.338968,8,
174,stupid,-3.5345495,8.338744,38,
1867,harsh,0.90904635,8.338612,37,
3858,moronic,-3.5238738,8.337567,38,
1990,star_trek,2.955482,8.336894,35,
1731,endless,-2.7953525,8.336635,38,
3466,guitar,4.0215116,8.334419,16,
3010,proceeding,-0.97633165,8.33156,8,
926,manner,-1.6249266,8.330224,8,
3163,pitch,4.075677,8.329768,16,
3670,drum,3.9961257,8.328224,16,
2917,warner,4.9384627,8.327914,16,
1415,irritate,-2.122942,8.326385,38,
1404,constant,-2.0371823,8.32598,8,
560,animation,2.4776676,8.324876,4,
3839,annoyed,-2.547965,8.324751,38,
3857,recycle,-1.9171066,8.321675,8,
370,sad,0.879204,8.317459,37,
1561,corny,-3.4229577,8.316628,38,
2001,effectively,-0.4921059,8.310175,45,
3009,bleak,0.8761748,8.309064,37,
1083,animate,2.5200312,8.308135,4,
3594,inappropriate,-2.0437021,8.307368,38,
2702,typically,-1.6593454,8.305321,8,
3484,boom,3.687087,8.305165,16,
526,cartoon,2.544127,8.303544,4,
1487,quiet,0.6201003,8.303209,37,
3535,whine,-2.202527,8.302669,38,
1094,combine,-0.90098786,8.297504,8,
3172,mixture,-0.85122395,8.296506,8,
3323,mtv,3.772811,8.295837,16,
697,disney,2.3903704,8.295625,4,
1406,annoy,-2.2438862,8.29368,38,
3739,exceptionally,-1.0650795,8.29354,8,
2394,idiotic,-3.4910076,8.292226,38,
2639,worst,-3.976226,8.291012,38,
3179,thrilling,0.032247834,8.290797,45,
3753,rivet,0.30088794,8.289866,45,
3690,incorporate,-0.9686847,8.289132,8,
488,annoying,-2.1761713,8.286456,38,
1993,excitement,-0.076974355,8.279062,45,
759,mix,-0.9204135,8.274311,8,
2846,live_action,2.5959573,8.2742405,4,
2024,worse,-4.13118,8.273116,38,
766,fake,-3.8011363,8.271211,38,
1600,confusing,-2.6443386,8.269844,38,
1267,thrill,-0.016485764,8.268366,45,
3467,stir,0.77702826,8.265524,37,
3538,stark,0.55667394,8.2641115,37,
3499,edge_seat,0.05093367,8.259804,45,
1005,surprisingly,-1.5036805,8.259473,8,
2941,timeless,2.1709385,8.258967,34,
882,pop,4.0173903,8.254602,16,
748,band,3.980181,8.246935,16,
790,tension,-0.1839445,8.244883,45,
547,suspense,-0.024355842,8.244005,45,
825,effective,-1.1598316,8.242553,8,
1912,suspenseful,0.034267962,8.241655,45,
3367,consistent,-2.9005928,8.23819,38,
2065,occasional,-1.9786072,8.237281,8,
3775,simultaneously,-0.32564506,8.237191,45,
3541,exaggerated,-2.0759299,8.232305,38,
1894,anime,2.650194,8.231626,4,
599,lame,-3.5332787,8.227444,38,
1788,amateurish,-4.050552,8.225226,38,
3326,poetic,0.92476517,8.223896,37,
2847,grim,1.0219934,8.2234125,37,
3914,appal,-4.2247453,8.221287,38,
1557,dreadful,-4.1252465,8.219185,38,
110,especially,-1.406761,8.210721,8,
3633,absent,-1.7911037,8.210663,8,
2693,cinderella,2.2850127,8.209424,34,
3867,unpredictable,0.044962566,8.209107,45,
3843,specially,-1.3711852,8.208078,8,
607,rock,4.0559273,8.207318,16,
118,moment,0.13097958,8.206161,45,
3779,appalling,-4.215235,8.203049,38,
3850,miyazaki,2.2098837,8.202058,34,
3736,engross,0.3625819,8.200126,45,
3427,abysmal,-4.2333293,8.19721,38,
2291,tense,0.09375509,8.194518,45,
3262,fitting,-1.1188934,8.19429,8,
2395,atrocious,-4.2045302,8.189278,38,
2079,comic_book,2.7274666,8.18491,4,
1612,genuinely,0.08630242,8.182433,45,
3601,remarkably,-1.205679,8.180953,8,
2827,horrid,-4.2386684,8.180861,38,
536,typical,-1.7243657,8.178123,8,
1549,grip,0.3278669,8.178118,45,
2744,horrendous,-4.2324233,8.177846,38,
1911,gritty,0.62755513,8.17276,37,
2916,rap,3.959621,8.171079,16,
2161,soft,-1.2697254,8.1659975,8,
1652,momant,0.26187176,8.164145,45,
657,dramatic,0.17895266,8.163492,45,
3889,shoddy,-4.0530796,8.159449,38,
3886,rehash,-2.0625377,8.159444,38,
422,somewhat,-1.7858067,8.155652,8,
273,acting,-4.0597034,8.155098,38,
356,particularly,-1.2915817,8.154707,8,
630,plus,-2.0072987,8.153624,8,
2137,final_scene,0.33746815,8.151534,45,
1323,nicely,-1.534753,8.150024,8,
2387,frequently,-1.8951647,8.149954,8,
1229,idiot,-3.541815,8.148805,38,
2802,metal,3.986724,8.147272,16,
3375,fairy_tale,2.0448582,8.146162,34,
3661,embarrassment,-3.6426084,8.145285,38,
1922,superman,2.8669245,8.139364,4,
1151,batman,2.8959775,8.13791,4,
1705,lousy,-4.1171594,8.13545,38,
1717,unexpected,0.120176286,8.135397,45,
527,tale,1.9734129,8.13525,34,
3492,hideous,-4.168276,8.133671,38,
3434,deliberately,-1.7940853,8.133657,8,
194,terrible,-4.19495,8.130659,38,
3349,superhero,2.8064466,8.12478,4,
25,act,-4.093184,8.123868,38,
147,poor,-4.0704737,8.123441,38,
1639,amateur,-4.1232657,8.121523,38,
924,exception,-1.3416386,8.119702,8,
1782,spin,-1.9900446,8.119694,8,
438,fill,-2.5031073,8.117712,38,
207,awful,-4.22898,8.11752,38,
3269,childish,-3.5324123,8.116373,38,
3876,ponyo,2.1041894,8.112157,34,
1431,thin,-2.6502912,8.111614,38,
3869,lackluster,-3.084408,8.110907,38,
1111,tragedy,0.8117021,8.109955,37,
1198,tragic,0.8204469,8.107858,37,
655,fantasy,1.9027505,8.106285,34,
684,fairly,-1.7122805,8.105005,8,
3740,likewise,-1.02991,8.103106,8,
1806,appropriate,-1.5468475,8.100239,8,
3243,embarrass,-3.6788664,8.097653,38,
